iter	Passed	Remaining
0	17	8510
1	32	7975
2	48	7957
3	64	8034
4	79	7890
5	93	7730
6	107	7544
7	118	7293
8	130	7098
9	142	7006
10	155	6902
11	166	6772
12	178	6703
13	191	6658
14	204	6618
15	218	6614
16	230	6556
17	242	6496
18	256	6490
19	271	6524
20	283	6464
21	296	6432
22	309	6419
23	322	6393
24	332	6322
25	342	6247
26	353	6194
27	363	6128
28	374	6077
29	384	6027
30	395	5976
31	405	5935
32	416	5898
33	426	5846
34	436	5798
35	446	5751
36	456	5708
37	466	5669
38	475	5624
39	489	5624
40	502	5620
41	514	5607
42	525	5586
43	536	5562
44	548	5541
45	559	5518
46	570	5497
47	583	5491
48	594	5475
49	606	5456
50	619	5450
51	631	5438
52	643	5430
53	656	5419
54	668	5407
55	681	5401
56	693	5390
57	706	5382
58	718	5367
59	733	5379
60	746	5369
61	759	5364
62	771	5352
63	783	5338
64	794	5318
65	805	5298
66	816	5274
67	825	5246
68	835	5218
69	847	5205
70	858	5186
71	869	5168
72	880	5152
73	891	5129
74	901	5108
75	912	5090
76	923	5072
77	933	5049
78	943	5026
79	954	5011
80	964	4990
81	975	4974
82	985	4951
83	996	4934
84	1006	4914
85	1017	4896
86	1027	4876
87	1037	4856
88	1047	4837
89	1058	4823
90	1069	4806
91	1080	4790
92	1091	4776
93	1100	4754
94	1111	4737
95	1121	4719
96	1132	4704
97	1142	4686
98	1152	4667
99	1162	4650
100	1172	4633
101	1183	4616
102	1193	4601
103	1203	4580
104	1214	4567
105	1224	4549
106	1233	4531
107	1243	4514
108	1254	4500
109	1263	4480
110	1273	4462
111	1282	4442
112	1292	4425
113	1301	4407
114	1310	4388
115	1319	4369
116	1328	4349
117	1337	4330
118	1346	4312
119	1356	4294
120	1365	4276
121	1374	4259
122	1384	4243
123	1393	4225
124	1403	4209
125	1412	4193
126	1422	4177
127	1431	4161
128	1440	4144
129	1450	4126
130	1459	4109
131	1467	4091
132	1476	4073
133	1485	4057
134	1494	4040
135	1503	4024
136	1512	4006
137	1521	3991
138	1530	3974
139	1539	3957
140	1548	3942
141	1557	3925
142	1566	3909
143	1574	3893
144	1583	3877
145	1592	3860
146	1600	3844
147	1609	3827
148	1619	3815
149	1628	3799
150	1637	3783
151	1646	3768
152	1655	3754
153	1664	3739
154	1672	3721
155	1681	3707
156	1690	3692
157	1699	3678
158	1708	3663
159	1717	3650
160	1726	3634
161	1735	3621
162	1746	3610
163	1755	3597
164	1765	3584
165	1774	3569
166	1783	3556
167	1792	3542
168	1801	3527
169	1808	3510
170	1817	3497
171	1826	3483
172	1835	3469
173	1844	3456
174	1853	3442
175	1862	3428
176	1871	3415
177	1880	3401
178	1888	3387
179	1897	3373
180	1907	3361
181	1916	3348
182	1927	3338
183	1936	3325
184	1945	3312
185	1954	3299
186	1963	3286
187	1972	3272
188	1981	3260
189	1989	3245
190	1998	3232
191	2007	3220
192	2016	3207
193	2025	3194
194	2034	3182
195	2044	3170
196	2052	3156
197	2061	3144
198	2070	3132
199	2080	3120
200	2088	3107
201	2098	3095
202	2107	3083
203	2116	3070
204	2125	3058
205	2134	3046
206	2144	3034
207	2152	3022
208	2161	3010
209	2171	2998
210	2179	2985
211	2188	2973
212	2197	2960
213	2207	2949
214	2215	2937
215	2225	2925
216	2233	2912
217	2242	2901
218	2251	2888
219	2260	2877
220	2269	2865
221	2278	2853
222	2287	2841
223	2296	2829
224	2306	2818
225	2315	2807
226	2325	2796
227	2334	2784
228	2344	2774
229	2353	2762
230	2363	2751
231	2372	2740
232	2381	2728
233	2390	2717
234	2399	2705
235	2408	2694
236	2417	2682
237	2425	2670
238	2435	2659
239	2444	2648
240	2453	2636
241	2461	2624
242	2470	2613
243	2479	2601
244	2488	2590
245	2497	2578
246	2507	2567
247	2516	2557
248	2525	2545
249	2534	2534
250	2543	2523
251	2553	2513
252	2562	2502
253	2572	2491
254	2582	2481
255	2590	2469
256	2599	2458
257	2608	2446
258	2617	2435
259	2626	2424
260	2634	2412
261	2644	2402
262	2654	2392
263	2663	2380
264	2672	2370
265	2681	2359
266	2690	2347
267	2699	2336
268	2708	2325
269	2717	2314
270	2725	2303
271	2735	2292
272	2743	2281
273	2753	2270
274	2760	2258
275	2769	2248
276	2779	2237
277	2788	2226
278	2797	2216
279	2806	2205
280	2816	2194
281	2825	2183
282	2834	2173
283	2843	2162
284	2852	2152
285	2861	2141
286	2871	2130
287	2880	2120
288	2889	2109
289	2898	2099
290	2907	2088
291	2917	2078
292	2926	2067
293	2935	2057
294	2944	2046
295	2953	2035
296	2962	2024
297	2971	2014
298	2980	2003
299	2989	1993
300	2999	1982
301	3008	1972
302	3018	1962
303	3027	1952
304	3037	1941
305	3046	1931
306	3056	1921
307	3065	1911
308	3076	1901
309	3085	1891
310	3094	1880
311	3103	1870
312	3112	1859
313	3121	1849
314	3129	1838
315	3139	1827
316	3147	1817
317	3156	1806
318	3164	1795
319	3174	1785
320	3183	1775
321	3192	1764
322	3201	1754
323	3211	1744
324	3220	1734
325	3230	1724
326	3240	1714
327	3248	1703
328	3257	1693
329	3266	1682
330	3276	1672
331	3285	1662
332	3294	1652
333	3302	1641
334	3311	1630
335	3320	1620
336	3327	1609
337	3337	1599
338	3345	1589
339	3356	1579
340	3365	1569
341	3374	1558
342	3383	1548
343	3393	1538
344	3402	1528
345	3411	1518
346	3420	1508
347	3429	1497
348	3438	1487
349	3446	1477
350	3455	1467
351	3464	1456
352	3473	1446
353	3483	1436
354	3492	1426
355	3501	1416
356	3510	1406
357	3519	1395
358	3527	1385
359	3537	1375
360	3545	1365
361	3554	1354
362	3563	1344
363	3572	1334
364	3581	1324
365	3590	1314
366	3599	1304
367	3608	1294
368	3616	1283
369	3625	1273
370	3634	1263
371	3643	1253
372	3652	1243
373	3661	1233
374	3670	1223
375	3678	1213
376	3687	1203
377	3697	1193
378	3706	1183
379	3715	1173
380	3723	1163
381	3733	1153
382	3741	1143
383	3749	1132
384	3758	1122
385	3767	1112
386	3776	1102
387	3785	1092
388	3794	1082
389	3802	1072
390	3810	1062
391	3819	1052
392	3828	1042
393	3836	1032
394	3845	1022
395	3854	1012
396	3863	1002
397	3871	992
398	3880	982
399	3889	972
400	3897	962
401	3909	952
402	3918	943
403	3926	933
404	3935	923
405	3944	913
406	3952	903
407	3961	893
408	3970	883
409	3979	873
410	3987	863
411	3996	853
412	4004	843
413	4014	833
414	4023	824
415	4031	814
416	4040	804
417	4050	794
418	4058	784
419	4067	774
420	4076	764
421	4084	754
422	4092	745
423	4101	735
424	4110	725
425	4119	715
426	4129	705
427	4137	696
428	4147	686
429	4155	676
430	4164	666
431	4173	656
432	4182	647
433	4191	637
434	4199	627
435	4208	617
436	4217	607
437	4226	598
438	4235	588
439	4244	578
440	4254	569
441	4264	559
442	4273	549
443	4281	540
444	4290	530
445	4298	520
446	4307	510
447	4316	501
448	4324	491
449	4333	481
450	4343	471
451	4351	462
452	4361	452
453	4370	442
454	4379	433
455	4388	423
456	4397	413
457	4406	404
458	4415	394
459	4424	384
460	4432	374
461	4441	365
462	4450	355
463	4459	345
464	4468	336
465	4477	326
466	4486	317
467	4494	307
468	4504	297
469	4512	288
470	4521	278
471	4529	268
472	4538	259
473	4547	249
474	4556	239
475	4564	230
476	4574	220
477	4582	210
478	4591	201
479	4600	191
480	4608	182
481	4617	172
482	4626	162
483	4634	153
484	4643	143
485	4652	134
486	4661	124
487	4669	114
488	4677	105
489	4686	95
490	4694	86
491	4703	76
492	4712	66
493	4721	57
494	4728	47
495	4737	38
496	4746	28
497	4755	19
498	4763	9
499	4772	0
