step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
186,CASH_OUT,117091.39,C1315859721,0.0,0.0,C252457797,218270.1,335361.49,0,0
525,PAYMENT,34864.03,C780882811,0.0,0.0,M1452371331,0.0,0.0,0,0
355,TRANSFER,1250291.27,C826232127,0.0,0.0,C1878065792,1946249.85,3253842.43,0,0
379,CASH_OUT,28417.85,C1420196705,0.0,0.0,C112087340,43908.57,72326.42,0,0
129,PAYMENT,12917.44,C1295908486,0.0,0.0,M616054252,0.0,0.0,0,0
164,PAYMENT,3996.1,C678563357,14550.0,10553.9,M1151891238,0.0,0.0,0,0
261,TRANSFER,150495.98,C2040533170,17595.0,0.0,C1678838758,0.0,150495.98,0,0
325,PAYMENT,14544.0,C494423496,281407.19,266863.19,M862909498,0.0,0.0,0,0
18,TRANSFER,295801.3,C705981519,0.0,0.0,C618155294,834669.59,1130470.89,0,0
36,CASH_OUT,197092.36,C1140722992,0.0,0.0,C110494331,1704356.69,1901449.05,0,0
158,CASH_OUT,149938.1,C1937570453,0.0,0.0,C1182461167,6788604.18,6938542.28,0,0
403,CASH_OUT,52386.67,C2105959464,506871.0,454484.33,C517214107,0.0,52386.67,0,0
13,CASH_OUT,2572.36,C1653219786,0.0,0.0,C44983660,31235.0,417972.45,0,0
299,TRANSFER,471201.8,C2123243528,1581.0,0.0,C1791450192,385096.56,856298.36,0,0
290,PAYMENT,3833.09,C315180732,1197.0,0.0,M1186205148,0.0,0.0,0,0
39,CASH_OUT,103900.66,C380241877,0.0,0.0,C1979576380,11521789.53,11625690.18,0,0
233,CASH_IN,132379.5,C1420127066,32134.0,164513.5,C885693407,0.0,0.0,0,0
251,PAYMENT,6451.67,C365955819,128682.2,122230.53,M1910095093,0.0,0.0,0,0
17,PAYMENT,6107.56,C74981836,187352.51,181244.95,M2039659310,0.0,0.0,0,0
570,PAYMENT,11673.62,C1238848523,0.0,0.0,M427910602,0.0,0.0,0,0
355,PAYMENT,2636.92,C1496022790,364945.0,362308.08,M134789711,0.0,0.0,0,0
164,PAYMENT,23880.46,C2114283155,104649.0,80768.54,M2089592265,0.0,0.0,0,0
374,CASH_OUT,166457.4,C1634038965,0.0,0.0,C1168469158,393435.83,559893.23,0,0
139,CASH_OUT,393010.64,C1444388533,10618.0,0.0,C1601305873,0.0,393010.64,0,0
36,PAYMENT,29557.2,C1134163199,0.0,0.0,M1149198887,0.0,0.0,0,0
162,PAYMENT,7931.32,C1610650595,22481.0,14549.68,M1442863744,0.0,0.0,0,0
132,CASH_IN,465769.59,C1657081448,10413.0,476182.59,C1436374985,0.0,0.0,0,0
349,CASH_IN,172617.17,C1561870305,10147.0,182764.17,C29017771,0.0,0.0,0,0
41,CASH_OUT,184463.35,C156274307,0.0,0.0,C509492666,2106076.39,2290539.74,0,0
284,CASH_IN,213129.45,C37674322,3540007.08,3753136.53,C1230367918,2070507.81,1857378.35,0,0
408,CASH_IN,248224.82,C916625460,7638815.02,7887039.84,C223018248,3042632.75,2794407.92,0,0
357,PAYMENT,15522.3,C450905032,31115.0,15592.7,M2130613701,0.0,0.0,0,0
140,CASH_OUT,80318.81,C1640153067,49628.0,0.0,C583889996,0.0,80318.81,0,0
189,PAYMENT,7735.45,C1151623264,187811.0,180075.55,M585612987,0.0,0.0,0,0
400,CASH_OUT,474113.18,C504976779,401631.0,0.0,C1845159851,0.0,474113.18,0,0
261,PAYMENT,7237.89,C2005588228,201478.0,194240.11,M1314197508,0.0,0.0,0,0
261,CASH_IN,112907.02,C523506316,4052104.39,4165011.41,C1465968560,6233355.35,6120448.33,0,0
