step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
1,PAYMENT,9839.64,C1231006815,170136.0,160296.36,M1979787155,0.0,0.0
1,PAYMENT,1864.28,C1666544295,21249.0,19384.72,M2044282225,0.0,0.0
1,TRANSFER,181.0,C1305486145,181.0,0.0,C553264065,0.0,0.0
1,CASH_OUT,181.0,C840083671,181.0,0.0,C38997010,21182.0,0.0
1,PAYMENT,11668.14,C2048537720,41554.0,29885.86,M1230701703,0.0,0.0
1,PAYMENT,7817.71,C90045638,53860.0,46042.29,M573487274,0.0,0.0
1,PAYMENT,7107.77,C154988899,183195.0,176087.23,M408069119,0.0,0.0
1,PAYMENT,7861.64,C1912850431,176087.23,168225.59,M633326333,0.0,0.0
1,PAYMENT,4024.36,C1265012928,2671.0,0.0,M1176932104,0.0,0.0
1,DEBIT,5337.77,C712410124,41720.0,36382.23,C195600860,41898.0,40348.79
1,DEBIT,9644.94,C1900366749,4465.0,0.0,C997608398,10845.0,157982.12
1,PAYMENT,3099.97,C249177573,20771.0,17671.03,M2096539129,0.0,0.0
1,PAYMENT,2560.74,C1648232591,5070.0,2509.26,M972865270,0.0,0.0
1,PAYMENT,11633.76,C1716932897,10127.0,0.0,M801569151,0.0,0.0
1,PAYMENT,4098.78,C1026483832,503264.0,499165.22,M1635378213,0.0,0.0
1,CASH_OUT,229133.94,C905080434,15325.0,0.0,C476402209,5083.0,51513.44
1,PAYMENT,1563.82,C761750706,450.0,0.0,M1731217984,0.0,0.0
1,PAYMENT,1157.86,C1237762639,21156.0,19998.14,M1877062907,0.0,0.0
1,PAYMENT,671.64,C2033524545,15123.0,14451.36,M473053293,0.0,0.0
1,TRANSFER,215310.3,C1670993182,705.0,0.0,C1100439041,22425.0,0.0
1,PAYMENT,1373.43,C20804602,13854.0,12480.57,M1344519051,0.0,0.0
1,DEBIT,9302.79,C1566511282,11299.0,1996.21,C1973538135,29832.0,16896.7
1,DEBIT,1065.41,C1959239586,1817.0,751.59,C515132998,10330.0,0.0
1,PAYMENT,3876.41,C504336483,67852.0,63975.59,M1404932042,0.0,0.0
1,TRANSFER,311685.89,C1984094095,10835.0,0.0,C932583850,6267.0,2719172.89
1,PAYMENT,6061.13,C1043358826,443.0,0.0,M1558079303,0.0,0.0
1,PAYMENT,9478.39,C1671590089,116494.0,107015.61,M58488213,0.0,0.0
1,PAYMENT,8009.09,C1053967012,10968.0,2958.91,M295304806,0.0,0.0
1,PAYMENT,8901.99,C1632497828,2958.91,0.0,M33419717,0.0,0.0
1,PAYMENT,9920.52,C764826684,0.0,0.0,M1940055334,0.0,0.0
1,PAYMENT,3448.92,C2103763750,0.0,0.0,M335107734,0.0,0.0
1,PAYMENT,4206.84,C215078753,0.0,0.0,M1757317128,0.0,0.0
1,PAYMENT,5885.56,C840514538,0.0,0.0,M1804441305,0.0,0.0
1,PAYMENT,5307.88,C1768242710,0.0,0.0,M1971783162,0.0,0.0
1,PAYMENT,5031.22,C247113419,0.0,0.0,M151442075,0.0,0.0
1,PAYMENT,24213.67,C1238616099,0.0,0.0,M70695990,0.0,0.0
1,PAYMENT,8603.42,C1608633989,253.0,0.0,M1615617512,0.0,0.0
1,PAYMENT,2791.42,C923341586,300481.0,297689.58,M107994825,0.0,0.0
