step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
255,CASH_OUT,76924.47,C584690275,237023.0,160098.53,C100666871,0.0,76924.47,0,0
187,CASH_OUT,84944.87,C2141865807,0.0,0.0,C411005250,375484.18,460429.05,0,0
372,TRANSFER,1364599.69,C1089646841,239.0,0.0,C759858333,1259529.91,2624129.6,0,0
324,PAYMENT,14109.8,C1959335170,74243.49,60133.69,M1883865514,0.0,0.0,0,0
282,CASH_IN,224135.76,C395411783,43144.0,267279.76,C1584909546,40633.67,0.0,0,0
307,PAYMENT,2123.41,C2054825587,155343.79,153220.38,M2124833190,0.0,0.0,0,0
375,PAYMENT,11975.7,C1457357528,0.0,0.0,M914119207,0.0,0.0,0,0
284,CASH_IN,120093.73,C57385843,12196239.92,12316333.65,C453493362,616739.94,496646.21,0,0
377,PAYMENT,5676.3,C116478714,257878.0,252201.7,M911610154,0.0,0.0,0,0
213,PAYMENT,2352.7,C1445843174,40121.0,37768.3,M1654201172,0.0,0.0,0,0
327,CASH_OUT,50032.11,C1006455741,30489.0,0.0,C1624943955,1175085.72,1225117.83,0,0
401,CASH_OUT,90342.53,C1873716345,313.0,0.0,C1580882829,0.0,90342.53,0,0
155,PAYMENT,1311.19,C1181715440,184864.0,183552.81,M1670539899,0.0,0.0,0,0
38,CASH_IN,246823.13,C1546582225,1425929.04,1672752.17,C1318362138,954825.57,708002.45,0,0
251,PAYMENT,17912.4,C1883443159,1224.0,0.0,M650223198,0.0,0.0,0,0
378,PAYMENT,302.46,C1538921395,792.0,489.54,M487386742,0.0,0.0,0,0
235,CASH_IN,27523.36,C20646323,309901.0,337424.36,C1072034118,0.0,0.0,0,0
183,PAYMENT,4836.17,C533013949,179192.88,174356.71,M240689669,0.0,0.0,0,0
39,CASH_OUT,86592.43,C978317986,115.0,0.0,C6778438,1409554.06,1496146.49,0,0
13,CASH_IN,32632.04,C1689064192,6195509.52,6228141.57,C1429167598,1755383.64,1722751.59,0,0
213,PAYMENT,68276.61,C1038461579,7219.49,0.0,M1726273075,0.0,0.0,0,0
305,CASH_OUT,313191.8,C1169184842,0.0,0.0,C629070199,837839.17,1151030.97,0,0
324,TRANSFER,1197001.04,C1689821867,20450.0,0.0,C1283192164,0.0,1197001.04,0,0
204,CASH_OUT,43574.63,C446136052,0.0,0.0,C2144711820,2433327.64,2476902.27,0,0
354,CASH_OUT,295462.37,C1159936833,20542.0,0.0,C1357419909,3633978.42,3929440.79,0,0
297,PAYMENT,21048.8,C1700957341,18049.0,0.0,M1325336084,0.0,0.0,0,0
17,CASH_OUT,152465.87,C1244639047,16563.0,0.0,C2133672993,541621.45,984495.33,0,0
201,CASH_IN,73299.29,C566738604,1742934.04,1816233.33,C1327534861,525247.6,451948.31,0,0
206,CASH_IN,329627.34,C1235779385,265.0,329892.34,C675574036,55510.54,0.0,0,0
305,PAYMENT,10444.22,C1056006082,0.0,0.0,M196951938,0.0,0.0,0,0
11,PAYMENT,17421.06,C1757896804,0.0,0.0,M849439847,0.0,0.0,0,0
212,DEBIT,21581.13,C600810273,166794.0,145212.87,C2080016353,163267.14,184848.27,0,0
278,PAYMENT,14811.55,C1485249195,50.0,0.0,M760763874,0.0,0.0,0,0
299,PAYMENT,19022.51,C261059267,0.0,0.0,M1073313291,0.0,0.0,0,0
348,PAYMENT,4122.26,C1418740060,0.0,0.0,M681119091,0.0,0.0,0,0
260,PAYMENT,1883.32,C2133774321,0.0,0.0,M1361053124,0.0,0.0,0,0
369,PAYMENT,1700.39,C1660969120,16825.0,15124.61,M281654424,0.0,0.0,0,0
162,PAYMENT,12411.22,C1399380085,255988.3,243577.08,M556998985,0.0,0.0,0,0
327,PAYMENT,77943.83,C1868634302,0.0,0.0,M1968741805,0.0,0.0,0,0
12,CASH_IN,9929.33,C392298500,11511.0,21440.33,C853490720,364896.95,354967.62,0,0
327,CASH_IN,34930.2,C308623033,393060.0,427990.2,C1947890487,0.0,0.0,0,0
302,CASH_IN,349198.23,C1281262657,29803.0,379001.23,C1968650998,471117.71,121919.47,0,0
227,PAYMENT,3333.11,C1782700816,545669.31,542336.2,M2020465857,0.0,0.0,0,0
